questions,class
Where is the Mayo Clinic ?,LOCATION
What Caribbean island is sometimes called Little England ?,LOCATION
Where is Amsterdam ?,LOCATION
Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?,LOCATION
What 's another word that means `` knows all '' ?,ENTITY
What Australian city became the home of the America 's Cup ?,LOCATION
Aspartame is known by what other name ?,ENTITY
What color is `` ash '' ?,ENTITY
What river does the Grand Coulee Dam dam ?,LOCATION
How often are quadruplets born ?,NUMERIC
How many presidents have died on the 4th of July ?,NUMERIC
What three colors are on the French flag ?,ENTITY
What are the seven wonders of the world ?,ENTITY
What does CNN stand for ?,ABBREVIATION
What constitutes an adult ?,ENTITY
What is a reliable site that I can download Heretic 2 ?,LOCATION
"What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?",ENTITY
What common ailment can 't you catch at the North Pole ?,ENTITY
What season begins with the vernal equinox ?,NUMERIC
What was the name of Roy Rogers 's dog ?,ENTITY
What TV series changed the names to protect the innocent ?,ENTITY
Where did cable cars first roll down Clay Street in 1873 ?,LOCATION
What is George Lucas 's e-mail address ?,LOCATION
What is the name of the dog on the Cracker Jack box ?,ENTITY
What William Styron book is about a black preacher who leads a slave revolt ?,ENTITY
What is the chemical symbol for nitrogen ?,ENTITY
How long were Tyrannosaurus Rex 's teeth ?,NUMERIC
What Kenyan city is the safari center for East Africa ?,LOCATION
What four U.S. states have active volcanoes ?,LOCATION
What is the name of the Islamic counterpart to the Red Cross ?,ENTITY
What year were the Olympic Games played in where Nadia Comaneci became popular ?,NUMERIC
What is glass made of ?,ENTITY
What are the biggest Indian airports ?,LOCATION
What is the folklore story regarding birds ' nests and birds in Christmas trees ?,ENTITY
"What are the world 's three largest oceans , in order of size ?",LOCATION
Where on the Internet can I find information on laundry detergent ?,LOCATION
What do the French call La Manche ?,ENTITY
What 's an easy way to count the approximate number of fish in a lake ?,ENTITY
What was the name of Aristotle Onassis 's yacht ?,ENTITY
What is a fear of being dirty ?,ENTITY
What animal occurs in Spielberg 's `` Jaws '' ?,ENTITY
The Shea &amp  Gould law firm had an office in L.A. for how many years ?,NUMERIC
How long does it take the typical American to eat 23 quarts of ice cream ?,NUMERIC
What kind of tree graces Lebanon 's flag ?,ENTITY
What are the various ways in which one can measure IT User Satisfaction Level ?,ENTITY
What city is sometimes called The Athens of Switzerland ?,LOCATION
Where did bocci originate ?,LOCATION
"Where can I find information about Bob Barr , representative from Georgia ?",LOCATION
What is the frequency of VHF ?,NUMERIC
What does the policeman become in the Canadian edition of Monopoly ?,ENTITY
How many electoral votes does it take to win presidency ?,NUMERIC
What kind of flowers does detective Nero Wolfe raise ?,ENTITY
What was paper made of in the late 16th century ?,ENTITY
What 's the most popular contact lens color ?,ENTITY
What were the cities of Dickens 's A Tale of Two Cities ?,LOCATION
In what year was the movie the Ten Commandments released ?,NUMERIC
What is the fastest fish in the world ?,ENTITY
What color are the castellated walls of the Kremlin ?,ENTITY
What is celebrated during the week of February 21-27 ?,ENTITY
What is damage to business and government caused by bureaucracy ?,ENTITY
What countries have the best math students ?,LOCATION
When was the De Beers company founded ?,NUMERIC
What was a California prayer book to an Old West gambler ?,ENTITY
What 's another name for aspartame ?,ENTITY
What 's the abbreviation for trinitrotoluene ?,ABBREVIATION
"What creature is the absolute fastest in moving in the world , birds , mammals , etc. , ?",ENTITY
What is the date of Bastille Day ?,NUMERIC
What is IOC an abbreviation of ?,ABBREVIATION
Which two products use a tiger as their symbol ?,ENTITY
"Where did Freidreich Wilhelm Ludwig Leichhardt , Prussian born explorer , go to school ?",LOCATION
What color eyes are most sensitive to light ?,ENTITY
How much folic acid should an expectant mother get daily ?,NUMERIC
What disease does Katharine Hepburn have that makes her voice shake ?,ENTITY
How much caffeine is in a 16 oz cup of coffee ?,NUMERIC
What is the name of the art of growing miniature trees ?,ENTITY
What two countries in South America are landlocked ?,LOCATION
What is Columbia Tristar 's phone number ?,NUMERIC
What does the method called `` cold fusion '' create ?,ENTITY
When did Princess Diana and Prince Charles get married ?,NUMERIC
What determines the value of the pearl ?,ENTITY
Which country did Hitler rule ?,LOCATION
"What was the name of the American ship sunk by a mine in Havana harbor , causing the Spanish-American war ?",ENTITY
What are emblazoned on the Jolly Roger ?,ENTITY
The Orange Bowl is in what city ?,LOCATION
How many Leos have been Pope ?,NUMERIC
What state was Herbert Hoover born in ?,LOCATION
"What TV series featured Neal , a martini-drinking St. Bernard ?",ENTITY
What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?,ENTITY
How many fiddlers did Old King Cole have ?,NUMERIC
What Irwin Allen bomb has Richard Widmark saying he 'll be `` the first officer in history to get his butt kicked by a mess of bugs ! '' ?,ENTITY
What is a fear of clouds ?,ENTITY
What is the music used in the new VW Beetle commercial where the car spins and changes colors ?,ENTITY
What is a fear of pregnancy ?,ENTITY
What is the population in India ?,NUMERIC
How long do flies live ?,NUMERIC
What state produces the best lobster to eat ?,LOCATION
How many times a day does the typical person go to the bathroom ?,NUMERIC
What bowl game began as an East-West contest between Michigan and Stanford in 192 ?,ENTITY
"What islands got their name from the Spanish baja mar , meaning shallow water ?",LOCATION
What 's the official language of Algeria ?,ENTITY
What took first prize in Omni magazine 's contest to find the `` ultimate unanswerable question '' ?,ENTITY
What six words follow the line : `` From a jack to a king.. . '' ?,ENTITY
What foods contain the most protein ?,ENTITY
How many feet long is a baseball pitcher 's rubber ?,NUMERIC
What was the nationality of Jackson Pollock ?,LOCATION
What are the snakes of New England ?,ENTITY
How many times larger than life size is the Statue of Liberty ?,NUMERIC
What is the name of the country which Hitler ruled ?,LOCATION
How long does a human live ?,NUMERIC
Where can I get U.S. economic statistics ?,LOCATION
How many Superbowls have the ers won ?,NUMERIC
What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?,ENTITY
What 's a perfect score in a gymnastics exercise ?,NUMERIC
What is the dot on an the letter i called ?,ENTITY
What 's the capital of Iowa ?,LOCATION
What do you call the feeling of having experienced something before ?,ENTITY
What is the abbreviated form of the National Bureau of Investigation ?,ABBREVIATION
"What is a fear of odors , body , ?",ENTITY
What is the formula to calculate pi ?,ENTITY
"What is the US Federal Government website for Standard Industrial Classification codes , SIC , ?",LOCATION
On what date did Rosa Parks Become a symbol of the civil rights movement for refusing to give up her seat on the bus ?,NUMERIC
What are the highest-paying odds on a roulette table ?,NUMERIC
In what year did the US Marine Corps adopt the motto `` Semper Fidelis '' ?,NUMERIC
How many films did Ingmar Bergman make ?,NUMERIC
What does a deltiologist collect ?,ENTITY
What does the `` c '' stand for in the equation E=mc2 ?,ABBREVIATION
Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?,ENTITY
When was the first Barbie produced ?,NUMERIC
What 's the hardest substance in the human body ?,ENTITY
How many more weeks of winter are there if a ground hog sees his shadow ?,NUMERIC
Where is the Henry Ford Museum ?,LOCATION
Name a film that has won the Golden Bear in the Berlin Film Festival ?,ENTITY
What 's the International Lawn Tennis Challenge Trophy usually called ?,ENTITY
What year did nylon stockings first go on sale ?,NUMERIC
What is a research expedition in mountain climbing ?,ENTITY
On which flight did Fawaz Younis commit air piracy and hostage taking ?,ENTITY
What are the 10 largest cities in the US ?,LOCATION
What is Drew Barrymore 's email address ?,LOCATION
What are fingernails made of ?,ENTITY
What nationality were the 123 people who died in the Black Hole of Calcutta ?,LOCATION
When did the Jurassic Period end ?,NUMERIC
What is the one thing you need before you can purchase life insurance ?,ENTITY
What was the date of Iraq 's invasion of Kuwait ?,NUMERIC
What is another word for diet ?,ENTITY
What Sinatra hit did he dooby dooby do in ?,ENTITY
What award is the `` Oscar '' of advertising ?,ENTITY
What is the name of the planet that the Ewoks live on ?,LOCATION
What ice creams contain seaweed ?,ENTITY
What is a `` USB '' port on a computer ?,ABBREVIATION
What term means a sexual attraction between a male and a female ?,ENTITY
What sea surrounds the Cayman Islands ?,LOCATION
How many different vegetation zones are there ?,NUMERIC
What does LOL mean ?,ABBREVIATION
What ocean was Amelia Earhart flying over when she disappeared ?,LOCATION
What book does Holden Caulfield appear in ?,ENTITY
What country other than Germany invaded Poland in September 1939 ?,LOCATION
What are the names of the different toes ?,ENTITY
What are different products of petroleum ?,ENTITY
When was the Bill of Rights ratified ?,NUMERIC
What is the largest U.S. state east of the Mississippi ?,LOCATION
"What 's the population of Biloxi , Mississippi ?",NUMERIC
What vowel do all Esperanto nouns end in ?,ENTITY
What California desert is dubbed High Desert ?,LOCATION
"In the Miller Lite TV commercial , who is the creature ?",ENTITY
Where do the Blackhawks maintain their operations ?,LOCATION
What African country was founded by freed American slaves in 1847 ?,LOCATION
What year did the first issue of `` Playboy '' come out ?,NUMERIC
The Orange Bowl is located in what city ?,LOCATION
What is a fear of motion ?,ENTITY
What is a fear of glass ?,ENTITY
How many layers does a bottle of Yoo-Hoo settle into ?,NUMERIC
What 's the nearest star to Earth ?,LOCATION
Where is Inoco based ?,LOCATION
What does El Nino mean in spanish ?,ENTITY
What was the number of assassinations and attempts to assassinate in the U.S. since 1865 ?,NUMERIC
How many stations do you shoot from in the basketball game `` Around the World '' ?,NUMERIC
What sign is the best love match for a horoscope sign ?,ENTITY
What cards are bullets ?,ENTITY
What is the average age a horse lives ?,NUMERIC
"What planet would you visit to see Bebrenia , Arcadia , and Amazonis ?",LOCATION
Which language has the most words ?,ENTITY
Where is Natick ?,LOCATION
What J.R.R. Tolkien book features Gimli as a central character ?,ENTITY
What brand of white rum is still made in Cuba ?,ENTITY
What is a fear of water ?,ENTITY
Where is the Valley of the Kings ?,LOCATION
Where did the sport of caber-tossing originate ?,LOCATION
Where are the Union Stockyards ?,LOCATION
Where does the weird shape of the dinner fish knife originate from ?,LOCATION
How many children does Ray Davies of the Kinks have ?,NUMERIC
How many years did Shea &amp  Gould practice law in Los Angeles ?,NUMERIC
What did Walter Huston remove to perform in the movie The Treasure of the Sierra Madre ?,ENTITY
How much salt is in the oceans ?,NUMERIC
What animals acted as lapwarmers for American colonists in church ?,ENTITY
Where does the U.S. get most of its energy ?,LOCATION
"What country , after Canada and Mexico , is closest to the U.S. ?",LOCATION
What is the weakest bone in the body ?,ENTITY
How many stars are there in Big Dipper ?,NUMERIC
How many wings does a flea have ?,NUMERIC
What country has been called The Queen of the Antilles ?,LOCATION
Where can I find a website that gives comparisons of good prices ?,LOCATION
What is the population of Mozambique ?,NUMERIC
What state has the most Indians ?,LOCATION
How long is Camptown Racetrack ?,NUMERIC
Where did Luther display his `` Ninety-Five Theses '' ?,LOCATION
What river is Pocahontas buried along ?,LOCATION
"How many miles is it from London , England to Plymouth , England ?",NUMERIC
What was Paul Bunyan 's ox 's name ?,ENTITY
What trophy is awarded to the winners of the Super Bowl ?,ENTITY
Where is Dartmouth College ?,LOCATION
How many people was Randy Craft convicted of murdering ?,NUMERIC
"What river flows through Vienna , Budapest and Belgrade ?",LOCATION
What does IOC stand for ?,ABBREVIATION
Which area produces the least acidic coffee ?,LOCATION
What is the trademark of a Washington Redskin 's fan ?,ENTITY
On which date is the Ukrainians ' Christmas ?,NUMERIC
What is the largest city in the world ?,LOCATION
What famed tennis tournament 's men 's singles title was Fred Perry the last Englishman to win ?,ENTITY
What is the average weight for a man ?,NUMERIC
What are Britain 's two longest rivers ?,LOCATION
"What country covers 8 , 600 , 387 square miles ?",LOCATION
What fuel do airplanes use ?,ENTITY
In which state are the Mark Twain National Forests ?,LOCATION
What is the oldest ethnological museum in the world ?,LOCATION
What color flies closest to the staff on Belgium 's flag ?,ENTITY
"What is the smallest thing seen under the most powerful microscope , and how big is it ?",ENTITY
Which ear can most people hear better with ?,ENTITY
Where have the most dinosaur remains been found ?,LOCATION
What letter appears on the cold-water tap in Spain ?,ENTITY
How do you say `` Grandma '' in Irish ?,ENTITY
What is a camel hair brush actually made out of ?,ENTITY
What island has a park called The Battery at is southern tip ?,LOCATION
How much is Clara Peller being paid by Wendy 's to say `` Where 's the beef '' ?,NUMERIC
What was the date of CNN 's first broadcast ?,NUMERIC
What Peter Blatty novel recounts the horrors of Regan MacNeil 's possession by the devil ?,ENTITY
"What is the all-time stock high of Apple Computer , and where can I find this information ?",NUMERIC
What non-alcoholic syrup is made from pomegranate juice ?,ENTITY
What meter was invented by C.C. Magee in 1935 ?,ENTITY
When was Calypso music invented ?,NUMERIC
What Caribbean island is northeast of Trinidad ?,LOCATION
"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",ENTITY
How old is Bernadette Peters ?,NUMERIC
Where can I find book reviews of `` Turbulent Souls '' ?,LOCATION
What is Dick Clark 's birthday ?,NUMERIC
What is the name for clouds that produce rain ?,ENTITY
When did Hitler come to power in Germany ?,NUMERIC
When did Gothic art and architecture flourish ?,NUMERIC
What day of the week was July 13 ?,NUMERIC
What does Salk vaccine prevent ?,ENTITY
What is a fear of insanity ?,ENTITY
Approximately how many students are enrolled at the University of Massachusetts ?,NUMERIC
What do West Indian steel bands use as instruments ?,ENTITY
What is the fastest growing state in the U.S.A. in 1998 ?,LOCATION
How many American soldiers have died for their country to date ?,NUMERIC
What was the name of the U.S. 's first manned space program ?,ENTITY
What were the achievements of Richard Nixon ?,ENTITY
Where does the opera singer Ileana Cotrubas come from ?,LOCATION
What year was the NAACP founded ?,NUMERIC
In what year did Thatcher gain power ?,NUMERIC
Where can I learn about Samuel Gompers ?,LOCATION
What U.S. state 's biggest lake is Lake Sam Rayburn ?,LOCATION
What do peacocks mate with ?,ENTITY
What state is Niagara Falls located in ?,LOCATION
How hot does the inside of an active volcano get ?,NUMERIC
What tools do you use to crewel ?,ENTITY
What is the name of the American literary era that includes 1896 ?,ENTITY
What 's the term for an organism that lives on or in another ?,ENTITY
Where is the Orange Bowl ?,LOCATION
What Scandinavian capital is built on nine bridge-connected islands ?,LOCATION
Where is the Smithsonian Institute located ?,LOCATION
What is the size of Argentina ?,NUMERIC
What would you add to the clay mixture to produce bone china ?,ENTITY
"What Stephen Sondheim ballad ends : `` Well , maybe next year.. . '' ?",ENTITY
What date is Richard Nixon 's birthday ?,NUMERIC
What film canine is buried in Pere-Lachaise cemetery in Paris ?,ENTITY
What percent of world 's fresh water is found in Canada ?,NUMERIC
CNN 's first broadcast occurred on what date ?,NUMERIC
How many grooves are on a dime ?,NUMERIC
What number of American soldiers remain unaccounted from the Vietnam war ?,NUMERIC
What is the acronym for the National Bureau of Investigation ?,ABBREVIATION
How many consecutive baseball games did Lou Gehrig play ?,NUMERIC
How many different types of skunks are there ?,NUMERIC
What is the name of a Salt Lake City newspaper ?,ENTITY
What year did Spielberg make `` Jaws '' ?,NUMERIC
What color Poker chip is usually assigned the lowest value ?,ENTITY
What do most tourists visit in Reims ?,LOCATION
Which produces the longer sperm - an elephant or a mouse ?,ENTITY
In what book can I find the story of Aladdin ?,ENTITY
What United States city produces the most oil ?,LOCATION
What 's the name of the Tokyo Stock Exchange ?,ENTITY
What 's the percentage of children aged two through eleven who watch ` 'The Simpsons ' ?,NUMERIC
"What TV show premiered on January 15 , 1981 ?",ENTITY
What was the only country in the Western Hemisphere to join the Russian-led boycott of the 1984 Summer Olympics ?,LOCATION
In what part of Africa is Mozambique located ?,LOCATION
What is the abbreviated term used for the National Bureau of Investigation ?,ABBREVIATION
Where is Poe 's birthplace ?,LOCATION
What was the first TV set to include a remote control ?,ENTITY
What first-aid product `` Helps the hurt stop hurting '' ?,ENTITY
Where can I find detailed information about Manchukuo ?,LOCATION
How much money does each player get at the beginning of the game in Monopoly ?,NUMERIC
Where 's the GUM department store ?,LOCATION
What state was named the Green Mountain state ?,LOCATION
What carries sperm up into the pelvic region ?,ENTITY
What year was the ATM first introduced ?,NUMERIC
What are all the southern states of the United States ?,LOCATION
What does 7847+5943 equal ?,NUMERIC
What book is subtitled The Preservation of Favoured Races in the Struggle for Life ?,ENTITY
What is Dick Clark 's date of birth ?,NUMERIC
What is the only primate to lack pigment in the palms of its hands ?,ENTITY
How many equal sides are there on a scalene triangle ?,NUMERIC
Where did Bill Gates go to college ?,LOCATION
What constellation is known as The Water Bearer ?,LOCATION
What tale has the moral : `` He who wants everything gets nothing '' ?,ENTITY
In which year was the cartoon character Chilly Willy created ?,NUMERIC
Name a Salt Lake City newspaper .,ENTITY
Where can I find the history of the Taiwanese language ?,LOCATION
What state is Mount McKinley in ?,LOCATION
What is RCD ?,ABBREVIATION
How large is Missouri 's population ?,NUMERIC
Which cats pursued Tweety Pie in his first cartoon appearance ?,ENTITY
When was the internal combustion engine developed ?,NUMERIC
What is a fear of touching ?,ENTITY
What is the name of the largest water conservancy project in China ?,ENTITY
Where is Kings Canyon ?,LOCATION
Which is the most-used computer program ?,ENTITY
What animal has the best hearing ?,ENTITY
What time does Wee Willie Winkie run through the town ?,NUMERIC
What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?,NUMERIC
What amount of money did the Philippine ex-dictator Marcos steal from the treasury ?,NUMERIC
What film featured Shirley MacLaine as a prostitute and Jack Lemmon as a pimp ?,ENTITY
What is a fear of drinking ?,ENTITY
What Asian country once thrilled to the sport of cricket fighting ?,LOCATION
How many varieties of apple are there ?,NUMERIC
What Ernest Hemingway novel had the working title Fiesta ?,ENTITY
What color of Monopoly properties are landed on most often ?,ENTITY
Which Beatles disc cover honors the Rolling Stones ?,ENTITY
What is the average life expectancy of a male in Ireland in 1996 ?,NUMERIC
What ocean liner burned and sank in Hong Kong harbor ?,ENTITY
What city is near the mouth of the Amazon ?,LOCATION
What money was used by them ?,ENTITY
"What color , s , appear on boxes of Kodak film ?",ENTITY
Where did the Inuits live ?,LOCATION
What was the name of the 1899 policy forced on China by which all nations had equal trading rights ?,ENTITY
What does Visine get out ?,ENTITY
"What former royal palace has served as a granary , prison , arsenal , leper colony , mint , telegraph station and whorehouse before becoming an art museum ?",LOCATION
"Where was `` I have fallen , and I can 't get up '' said first ?",LOCATION
How many URL extensions are there ? and what are they ?,NUMERIC
Where did the Wright brothers make their first flight ?,LOCATION
What do you get by mixing gin and vermouth ?,ENTITY
What is the snowiest city in the U.S. ?,LOCATION
"What book opens : `` At a certain village in La Mancha , which I shall not name.. . '' ?",ENTITY
What does SHIELD stand for ?,ABBREVIATION
"How do you say , `` I love you '' in other languages ?",ENTITY
What is the chemical reactivity of helium ?,NUMERIC
What South American capital is the world 's highest ?,LOCATION
Name a civil war battlefield .,LOCATION
When do you plant winter wheat ?,NUMERIC
How many counties are in Indiana ?,NUMERIC
What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?,ENTITY
What famed strip of land is a 15-minute boat trip across the Venetian Lagoon from Venice ?,LOCATION
What is the exchange rate between England and the U.S. ?,NUMERIC
What does a woman want ?,ENTITY
What is the protection rate of using condoms ?,NUMERIC
What 's the abbreviation for limited partnership ?,ABBREVIATION
Which continent has the most roses ?,LOCATION
What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?,ENTITY
What is your favorite color ?,ENTITY
"What is the longest chemical name , consisting of 35 letters ?",ENTITY
How many corners does a spritsail have ?,NUMERIC
What credit card features a centurion on its face ?,ENTITY
What are the four largest mountain ranges on the Asian continent ?,LOCATION
What is the mission of Nike ?,ENTITY
How far can you see ?,NUMERIC
"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?",ENTITY
Where in the Bible does it tell about Jesus Christ 's brothers and sisters ?,LOCATION
What country boasts the southernmost point in continental Europe ?,LOCATION
When did Nostradamus believe World War III would begin ?,NUMERIC
What do the Japanese call Japan ?,ENTITY
What country was Brian Boru an 11th-century king of ?,LOCATION
What English word has the most letters ?,ENTITY
What film ends with the line : `` This is Mrs. Norman Maine '' ?,ENTITY
Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?,LOCATION
When was London 's Docklands Light Railway constructed ?,NUMERIC
What state capital comes last alphabetically ?,LOCATION
What 's the main vegetable in vichyssoise ?,ENTITY
How long did the Charles Manson murder trial last ?,NUMERIC
How long does it take for your blood to make one complete trip through the body ?,NUMERIC
Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?,LOCATION
"What beer tells us , `` Grab all the gusto you can get . '' ?",ENTITY
What is the geographical center of the US including Alaska and Hawaii ?,LOCATION
Which side of the face do most artists tend to show more of in self-portraits ?,ENTITY
What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?,ENTITY
When do MORMONS believe Christ was born ?,NUMERIC
In what year was actress Joan Collins born ?,NUMERIC
What is a fear of punishment ?,ENTITY
What is average salary of restaurant manager in United States ?,NUMERIC
What comic strip sometimes features a mailman named Beasley ?,ENTITY
What device provided a new way to listen to music in 1963 ?,ENTITY
"What will a kid eat the middle of , and save the chocolate on the outside for last ?",ENTITY
"On average , how long time does it take to type a screenplay ?",NUMERIC
What does the abbreviation IOC stand for ?,ABBREVIATION
How long do cardinal eggs incubate ?,NUMERIC
What two body parts grow all your life ?,ENTITY
What country has the port of Haifa ?,LOCATION
What is the main ingredient of yogurt ?,ENTITY
What is the recipe for Eggs Benedict ?,ENTITY
"What is the address for the main government office in Rome , Italy ?",LOCATION
What 's the largest U.S. agricultural crop by weight ?,ENTITY
What is the electronic device used to produce visual displays corresponding to electric signals ?,ENTITY
What is the chemical composition of a Barbie ?,ENTITY
How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?,NUMERIC
What is the lens behind the iris in the eye called ?,ENTITY
What is the longest English word that can be formed using just the first row of letters on a typewriter ?,ENTITY
What is Chiricahua the name of ?,ENTITY
What 's the green variety of beryl called ?,ENTITY
What was the name of Captain Bligh 's ship ?,ENTITY
Which is heavier - cream or milk ?,ENTITY
Where is Romania located ?,LOCATION
How many films are made by the major studios in a year ?,NUMERIC
How many small businesses are there in the U.S .,NUMERIC
What age is Benny Carter ?,NUMERIC
What city did the Mormons establish as their headquarters in 1847 ?,LOCATION
What two countries are linked by the Brenner Pass ?,LOCATION
What new games are available for Nintendo 64 ?,ENTITY
Mississippi has what name for a state nickname ?,LOCATION
What is the predominant color of the Tab label ?,ENTITY
What U.S. city was named for St. Francis of Assisi ?,LOCATION
"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?",NUMERIC
What day is known as the `` national day of prayer '' ?,NUMERIC
Where can I get a photograph of professor Randolph Quirk ?,LOCATION
What are the conjugations of wake and woke ?,ENTITY
What was Einstein 's IQ ?,NUMERIC
What are John C. Calhoun and Henry Clay known as ?,ENTITY
What are some good exercises for kids to do ?,ENTITY
How many real fruit juices are there in a can of Hawaiian Punch ?,NUMERIC
What is the abbreviation of the National Bureau of Investigation ?,ABBREVIATION
What is the principal river of Ireland ?,LOCATION
What lake is the source of the White Nile ?,LOCATION
Garry Kasparov plays what game ?,ENTITY
How much does a poodle weigh ?,NUMERIC
How many points are there on a Backgammon board ?,NUMERIC
Which comic book was not spawned directly from the pulp magazines ?,ENTITY
"What product is for kids , and not for silly rabbits ?",ENTITY
How many frames does a disk camera shoot ?,NUMERIC
What are the 7 Wonders of the World ?,ENTITY
When did Theo Rousseau paint the `` Forest of Fontaine '' ?,NUMERIC
How many people have been Captain America ?,NUMERIC
"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?",ENTITY
Where is the human skin least sensitive ?,ENTITY
What is the biggest `` thing '' humans have made ?,ENTITY
What are all the rivers in Europe ?,LOCATION
What five cards make up a perfect Cribbage hand ?,ENTITY
In what year was Gandhi assassinated ?,NUMERIC
What is the time it takes a typist to type a screenplay that is 100 pages long ?,NUMERIC
What is the full classification of a lady bug ?,ENTITY
How many pairs of wings does a tsetse fly have ?,NUMERIC
What was the name of the peace agreement imposed on Germany after World War I ?,ENTITY
What 's the fifth-largest country in the world ?,LOCATION
What newspaper serves Salt Lake City ?,ENTITY
The film `` Jaws '' was made in what year ?,NUMERIC
What spice do chefs pay the most for ?,ENTITY
What was the sister ship of the Olympic ?,ENTITY
What is HTML ?,ABBREVIATION
What animal migrates the farthest ?,ENTITY
What film was based on the play Everybody Comes to Rick 's ?,ENTITY
Madonna hocks which soft drink ?,ENTITY
In what country is Lund ?,LOCATION
What 's the sequel to Alice 's Adventures in Wonderland ?,ENTITY
What is the capital of Seattle ?,LOCATION
What city in Florida is Sea World in ?,LOCATION
What is a fear of worms ?,ENTITY
Where does the tennis star Stefan Edberg come from ?,LOCATION
What continent pushes up the Executive Committee mountain range ?,LOCATION
What food can I use to catch a possum ?,ENTITY
What is the largest city in Germany ?,LOCATION
What is a fear of cholera ?,ENTITY
What park contains Firehole River and Fairy Falls ?,LOCATION
What 's the largest island in the West Indies ?,LOCATION
What New England state carries the telephone area code 27 ?,LOCATION
What is an example of a natural acid-base indicator ?,ENTITY
In what county is Eckley Colorado ?,LOCATION
"How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?",NUMERIC
What are pushed and coupled in hump yards ?,ENTITY
How long do hermit crabs live ?,NUMERIC
What city hosted the first Winter Olympics in Asia ?,LOCATION
What month were you born in if your birthstone is sardonyx ?,NUMERIC
"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?",ENTITY
What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?,ENTITY
Madonna advertises for what soft drink ?,ENTITY
What does A&amp W of root beer fame stand for ?,ABBREVIATION
What tennis term is said to come from the French word for egg ?,ENTITY
What does a collier mine ?,ENTITY
How much money can a person be fined for having a dog on a beach ?,NUMERIC
"What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?",LOCATION
What are the ages in comic book lingo ?,ENTITY
What kinds of animals are in Cambodia ?,ENTITY
"What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?",ENTITY
What date did man first land on the moon ?,NUMERIC
Where are the headquarters of Eli Lilly ?,LOCATION
How many web servers are there ?,NUMERIC
How many trees go into paper making in a year ?,NUMERIC
Where can I find info on research being done on oilseeds thru genetics ?,LOCATION
How far out is the universe ?,NUMERIC
What disease is the second-biggest killer of North Americans ?,ENTITY
Where did the Mayan Indians live ?,LOCATION
Where was Poe born ?,LOCATION
What is a fear of crystals or glass ?,ENTITY
Name a product that controls the ripening of apples .,ENTITY
How many warmup pitches does a reliever get coming into a baseball game ?,NUMERIC
Where did Dylan Thomas die ?,LOCATION
What common livestock have the greatest variety of breeds ?,ENTITY
What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?,ENTITY
What disease did August von Wassermann develop a specific test for in 196 ?,ENTITY
What can communications satellites offer yachts ?,ENTITY
How many Fig Newtons are there to the pound ?,NUMERIC
How many bones are there in the human hand ?,NUMERIC
What was the tallest building in America in 1922 ?,LOCATION
How far is it from Phoenix to Blythe ?,NUMERIC
What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?,LOCATION
How many people watch network television ?,NUMERIC
"What garment was named for Bradley , Voorhees and Day ?",ENTITY
How many horses are there on a polo team ?,NUMERIC
What 's destroyed in Genesis 19 : 24 ?,ENTITY
What new year is celebrated on February 16th ?,ENTITY
Where do the Grimace and Mayor McCheese live ?,LOCATION
How long does it take to hike the entire Appalachian Trail ?,NUMERIC
Where is the world championship sled dog race held each February ?,LOCATION
What 's the name of the Tampa newspaper ?,ENTITY
What was the alternate to VHS ?,ENTITY
What is one of the languages of the Sioux ?,ENTITY
How many times can a nickel-cadmium rechargeable battery be recharged ?,NUMERIC
What was the food of the Greek gods called ?,ENTITY
How many seats does the Batmobile sport ?,NUMERIC
How many cards are dealt to each player in Gin Rummy ?,NUMERIC
What Erica Jong novel deals with Isadora Wing 's fear ?,ENTITY
What time of year do most people fly ?,NUMERIC
When is the Thai New Year ?,NUMERIC
What four tournaments make up tennis ' Grand Slam ?,ENTITY
What 1964 film introduced the song My Kind of Town ?,ENTITY
What is the term for the side of the mountain that faces the prevailing winds ?,ENTITY
"In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?",ENTITY
